 ENERGY      SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA    SLGUANINA
 2.500E+01     7.504E-03   7.660E-03   8.353E-03   7.814E-03   7.067E-03
 4.970E+01     2.128E+00   2.208E+00   2.327E+00   2.241E+00   2.072E+00
 1.000E+02     1.850E+01   1.905E+01   1.956E+01   1.924E+01   1.835E+01
 2.002E+02     3.556E+01   3.611E+01   3.678E+01   3.644E+01   3.537E+01
 2.993E+02     3.863E+01   3.906E+01   3.966E+01   3.936E+01   3.846E+01
 4.000E+02     3.818E+01   3.852E+01   3.902E+01   3.877E+01   3.803E+01
 4.995E+02     3.669E+01   3.697E+01   3.738E+01   3.717E+01   3.656E+01
 6.996E+02     3.324E+01   3.343E+01   3.371E+01   3.356E+01   3.314E+01
 9.986E+02     2.866E+01   2.877E+01   2.896E+01   2.886E+01   2.860E+01
 1.998E+03     1.952E+01   1.952E+01   1.960E+01   1.955E+01   1.948E+01
 2.970E+03     1.501E+01   1.498E+01   1.503E+01   1.500E+01   1.497E+01
 4.970E+03     1.039E+01   1.036E+01   1.038E+01   1.037E+01   1.037E+01
 6.972E+03     7.977E+00   7.961E+00   7.965E+00   7.962E+00   7.970E+00
 1.000E+04     6.212E+00   6.192E+00   6.190E+00   6.192E+00   6.208E+00
